fold,analyzer,n_components,component,explained_variance_ratio,cumulative_explained_variance_ratio,vocabulary_size
3,word,30,description_svd_11,0.0072317858359710685,0.14816799786190774,5000
3,word,30,description_svd_12,0.006935873632585609,0.15510387149449334,5000
3,word,30,description_svd_13,0.006536820688804492,0.16164069218329782,5000
3,word,30,description_svd_14,0.006358131977111463,0.1679988241604093,5000
3,word,30,description_svd_15,0.006158771499448791,0.17415759565985808,5000
3,word,30,description_svd_16,0.005533764596844662,0.17969136025670274,5000
3,word,30,description_svd_17,0.00542072670343835,0.1851120869601411,5000
3,word,30,description_svd_18,0.005166674821242492,0.1902787617813836,5000
3,word,30,description_svd_19,0.005057203333394269,0.19533596511477785,5000
3,word,30,description_svd_20,0.004752262992466553,0.20008822810724441,5000
3,word,30,description_svd_21,0.004689407350740757,0.20477763545798516,5000
3,word,30,description_svd_22,0.0045331107784460515,0.20931074623643123,5000
3,word,30,description_svd_23,0.004414837960998072,0.2137255841974293,5000
3,word,30,description_svd_24,0.004257981037595228,0.21798356523502452,5000
3,word,30,description_svd_25,0.003982745758373302,0.2219663109933978,5000
3,word,30,description_svd_26,0.003945637717598843,0.22591194871099665,5000
3,word,30,description_svd_27,0.003900779132577299,0.22981272784357396,5000
3,word,30,description_svd_28,0.0038214802567325353,0.2336342081003065,5000
3,word,30,description_svd_29,0.003752742531738984,0.23738695063204548,5000
3,word,30,description_svd_30,0.003644558746203138,0.24103150937824863,5000
3,word,50,description_svd_01,0.010689956220473359,0.010689956220473359,5000
3,word,50,description_svd_02,0.038714860358708976,0.04940481657918233,5000
3,word,50,description_svd_03,0.01578000392690494,0.06518482050608727,5000
3,word,50,description_svd_04,0.014716396531667812,0.07990121703775509,5000
3,word,50,description_svd_05,0.012770578834542334,0.09267179587229742,5000
3,word,50,description_svd_06,0.011871081521710075,0.10454287739400749,5000
3,word,50,description_svd_07,0.010527047084924643,0.11506992447893213,5000
3,word,50,description_svd_08,0.009130892136657878,0.12420081661559002,5000
3,word,50,description_svd_09,0.008624233163902822,0.13282504977949283,5000
3,word,50,description_svd_10,0.008111461856500371,0.1409365116359932,5000
3,word,50,description_svd_11,0.007232007829872613,0.1481685194658658,5000
3,word,50,description_svd_12,0.006936200392494174,0.15510471985835997,5000
3,word,50,description_svd_13,0.006538005169583148,0.1616427250279431,5000
3,word,50,description_svd_14,0.006360892733493956,0.16800361776143707,5000
3,word,50,description_svd_15,0.006160949116971068,0.17416456687840814,5000
3,word,50,description_svd_16,0.005537913987913243,0.1797024808663214,5000
3,word,50,description_svd_17,0.005426121853655606,0.185128602719977,5000
3,word,50,description_svd_18,0.005172277792902612,0.1903008805128796,5000
3,word,50,description_svd_19,0.005092420211868167,0.19539330072474778,5000
3,word,50,description_svd_20,0.004795697843876392,0.20018899856862418,5000
3,word,50,description_svd_21,0.004701740500642017,0.2048907390692662,5000
3,word,50,description_svd_22,0.004547239062348369,0.20943797813161455,5000
3,word,50,description_svd_23,0.0044316013265063145,0.21386957945812085,5000
3,word,50,description_svd_24,0.0042946169804763965,0.21816419643859725,5000
3,word,50,description_svd_25,0.00411328351174028,0.22227747995033753,5000
3,word,50,description_svd_26,0.003999358242490504,0.22627683819282804,5000
3,word,50,description_svd_27,0.003964208251984145,0.2302410464448122,5000
3,word,50,description_svd_28,0.0038627488896985293,0.23410379533451073,5000
3,word,50,description_svd_29,0.0038017404206104927,0.23790553575512122,5000
3,word,50,description_svd_30,0.003714678335629507,0.2416202140907507,5000
3,word,50,description_svd_31,0.003594289434504751,0.24521450352525545,5000
3,word,50,description_svd_32,0.003550787622225832,0.24876529114748128,5000
3,word,50,description_svd_33,0.0034653824848312692,0.25223067363231255,5000
3,word,50,description_svd_34,0.0033871133719223455,0.2556177870042349,5000
